post_key,username,body,created_at
indigo-02,indigo,The check constraint caught an empty post exactly as intended.,2026-05-01T10:50:00+00:00
indigo-03,indigo,Every fixture needs at least one boring verification path.,2026-05-01T12:00:00+00:00
indigo-04,indigo,Testing repost rendering from both feed and profile pages.,2026-05-01T13:10:00+00:00
indigo-05,indigo,The import script should fail loudly on missing references.,2026-05-01T14:20:00+00:00
indigo-06,indigo,Running the command twice is a real acceptance test.,2026-05-01T15:30:00+00:00
indigo-07,indigo,Fixture data is production code when demos depend on it.,2026-05-01T16:40:00+00:00
jordan-01,jordan,Built my first local Flask route and it actually works.,2026-05-01T09:45:00+00:00
jordan-02,jordan,Following people makes the feed feel less lonely right away.,2026-05-01T10:55:00+00:00
jordan-03,jordan,Trying to understand how reposts point back to originals.,2026-05-01T12:05:00+00:00
jordan-04,jordan,Small apps are the best way to learn database relationships.,2026-05-01T13:15:00+00:00
jordan-05,jordan,Added a note about keeping seed passwords obvious in demos.,2026-05-01T14:25:00+00:00
jordan-06,jordan,The explore page is where I find accounts to follow.,2026-05-01T15:35:00+00:00
jordan-07,jordan,Reading model code made the UI behavior easier to predict.,2026-05-01T16:45:00+00:00
jordan-08,jordan,Trying to keep each demo post short and believable.,2026-05-01T17:55:00+00:00
jordan-09,jordan,SQLite files are nice because you can throw them away and retry.,2026-05-01T19:05:00+00:00
jordan-10,jordan,Tomorrow I want to add comments to the seed set too.,2026-05-01T20:15:00+00:00
